Date,Open,High,Low,Close,Adj Close,Volume
2014-12-17,755.099976,761.650024,719.000000,731.299988,705.561951,2346032
2014-12-18,737.200012,748.799988,735.200012,744.950012,718.731567,1127699
2014-12-19,756.950012,759.650024,728.000000,733.000000,707.202087,1902149
2014-12-22,731.200012,747.700012,731.200012,745.549988,719.310364,1029222
2014-12-23,747.000000,751.000000,735.400024,739.250000,713.232117,669484
2014-12-24,740.099976,743.200012,725.150024,728.450012,702.812256,2337291
2014-12-26,732.000000,738.000000,722.000000,727.049988,701.461487,525701
2014-12-29,728.849976,759.299988,728.849976,757.549988,730.888062,865233
2014-12-30,761.000000,762.900024,745.000000,749.950012,723.555542,732669
2014-12-31,749.750000,757.950012,749.099976,752.299988,725.822876,648847
2015-01-01,751.099976,754.500000,747.000000,749.150024,722.783691,284935
2015-01-02,751.250000,781.450012,751.250000,775.049988,747.772156,2080850
2015-01-05,779.900024,787.900024,772.700012,775.000000,747.723999,1326999
2015-01-06,775.000000,783.000000,750.400024,756.500000,729.875061,1510720
2015-01-07,763.400024,778.349976,759.250000,771.700012,744.540100,1427667
2015-01-08,783.799988,822.900024,778.099976,820.349976,791.477783,2769416
2015-01-09,828.450012,829.000000,804.049988,812.500000,783.904114,1708427
2015-01-12,813.049988,818.400024,800.200012,807.750000,779.321289,1320557
2015-01-13,813.000000,842.450012,812.099976,833.849976,804.502686,3835281
2015-01-14,840.000000,850.000000,830.200012,842.650024,812.992981,2320114
2015-01-15,849.000000,850.000000,833.000000,839.349976,809.809082,1308063
2015-01-16,844.900024,859.000000,840.000000,843.450012,813.764893,1568660
2015-01-19,846.000000,848.000000,829.549988,831.900024,802.621399,1041563
2015-01-20,835.000000,847.000000,835.000000,839.200012,809.664368,1314139
2015-01-21,845.000000,855.900024,839.200012,851.299988,821.338440,1663391
2015-01-22,856.500000,881.650024,852.849976,867.150024,836.630798,1995155
2015-01-23,870.799988,879.950012,860.099976,862.099976,831.758423,1531430
2015-01-27,868.900024,892.799988,865.500000,890.500000,859.158936,1831293
2015-01-28,893.049988,921.000000,891.049988,910.250000,878.213806,2895714
2015-01-29,913.799988,922.500000,867.200012,881.299988,850.282654,5326269
2015-01-30,888.500000,888.500000,854.099976,857.750000,827.561462,3291034
2015-02-02,850.000000,851.099976,803.500000,808.099976,779.658997,4808585
2015-02-03,809.799988,826.500000,802.000000,814.700012,786.026672,3048559
2015-02-04,819.799988,823.200012,800.799988,803.849976,775.558594,912365
2015-02-05,812.000000,826.400024,808.000000,810.849976,782.312195,1668101
2015-02-06,810.000000,815.000000,788.799988,797.650024,769.576843,1668283
2015-02-09,790.000000,822.000000,783.400024,803.650024,775.365601,1910672
2015-02-10,801.900024,829.900024,799.849976,822.200012,793.262695,2235687
2015-02-11,830.000000,845.000000,828.000000,840.750000,811.159790,1227804
2015-02-12,847.000000,849.900024,819.349976,823.750000,794.758179,1974102
2015-02-13,824.349976,834.950012,815.049988,826.750000,797.652527,1323475
2015-02-16,834.000000,842.500000,818.000000,834.150024,804.792175,1584956
2015-02-18,839.099976,842.000000,819.700012,821.049988,792.153198,1448399
2015-02-19,826.000000,838.000000,826.000000,834.099976,804.743896,1216904
2015-02-20,834.250000,836.099976,823.200012,825.700012,796.639526,699111
2015-02-23,829.500000,833.000000,806.099976,809.599976,781.106201,1434240
2015-02-24,810.000000,813.500000,798.000000,799.549988,771.409729,1141027
2015-02-25,805.200012,816.000000,805.000000,813.849976,785.206543,1537365
2015-02-26,818.799988,819.900024,787.200012,791.900024,764.029175,1600594
2015-02-27,799.099976,809.099976,796.099976,807.150024,778.742371,1272026
2015-02-28,null,null,null,null,null,null
2015-03-02,823.799988,830.599976,806.000000,825.599976,796.542969,1383141
2015-03-03,829.849976,842.000000,827.200012,838.299988,808.796143,1617826
2015-03-04,844.500000,848.200012,832.400024,836.799988,807.348877,1600601
2015-03-05,837.000000,841.549988,828.000000,833.900024,804.551025,694150
2015-03-09,832.500000,832.500000,808.849976,812.650024,784.048889,626456
2015-03-10,813.000000,818.000000,802.000000,807.950012,779.514282,691298
2015-03-11,818.000000,819.950012,806.750000,809.000000,780.527283,942306
2015-03-12,814.799988,815.000000,805.200012,808.099976,779.658997,979686
2015-03-13,811.900024,818.700012,805.599976,808.400024,779.948486,837992
2015-03-16,813.000000,835.849976,809.000000,831.849976,802.573059,1287189
2015-03-17,839.349976,841.950012,823.000000,831.400024,802.138916,1384999
2015-03-18,835.849976,835.849976,810.000000,814.200012,785.544373,1172762
2015-03-19,824.000000,847.849976,821.700012,834.799988,805.419250,2037801
2015-03-20,836.000000,837.000000,805.599976,809.950012,781.443848,1245311
2015-03-23,816.000000,816.000000,805.500000,811.599976,783.035706,759196
2015-03-24,809.650024,819.500000,807.599976,813.299988,784.675903,755974
2015-03-25,813.799988,817.349976,802.500000,808.500000,780.044800,834390
2015-03-26,803.000000,815.900024,788.000000,793.099976,765.186890,1516627
2015-03-27,793.000000,793.000000,768.099976,778.150024,750.763123,1557785
2015-03-30,780.099976,809.750000,780.049988,807.450012,779.031799,847421
2015-03-31,807.900024,817.000000,802.049988,811.299988,782.746399,947718
2015-04-01,810.000000,825.900024,803.500000,821.700012,792.780396,898480
2015-04-06,829.000000,831.400024,819.000000,824.500000,795.481812,687263
2015-04-07,824.349976,838.799988,821.000000,835.200012,805.805298,769528
2015-04-08,841.000000,854.000000,840.000000,846.849976,817.045105,982733
2015-04-09,855.000000,856.000000,841.000000,853.150024,823.123413,1019655
2015-04-10,853.000000,861.700012,843.200012,859.450012,829.201782,802074
2015-04-13,860.000000,865.549988,852.400024,862.049988,831.710083,805167
2015-04-15,861.650024,863.000000,835.000000,839.049988,809.519653,1279621
2015-04-16,835.000000,836.849976,810.599976,822.250000,793.310913,1366075
2015-04-17,822.250000,829.599976,815.000000,816.799988,788.052673,685338
2015-04-20,818.000000,819.299988,800.000000,808.950012,780.479065,920198
2015-04-21,813.450012,816.900024,792.000000,796.500000,768.467163,652649
2015-04-22,800.000000,806.000000,769.200012,785.450012,757.806091,1779318
2015-04-23,793.099976,810.000000,785.000000,786.400024,758.722778,1275295
2015-04-24,792.500000,792.500000,765.049988,771.349976,744.202332,1123939
2015-04-27,775.000000,775.000000,740.549988,744.799988,718.586853,1625216
2015-04-28,741.950012,768.650024,730.000000,765.450012,738.509949,2052761
2015-04-29,763.099976,763.099976,750.000000,754.400024,727.848938,1445757
2015-04-30,749.299988,770.849976,747.200012,762.450012,735.615540,2260678
2015-05-04,769.849976,781.500000,764.000000,779.400024,751.969116,1071772
2015-05-05,780.000000,784.849976,768.650024,781.400024,753.898621,952716
2015-05-06,779.000000,779.000000,750.150024,760.849976,734.071899,1616619
2015-05-07,753.299988,773.450012,734.849976,765.750000,738.799561,1718402
2015-05-08,773.000000,774.400024,752.750000,759.400024,732.673035,1127201
2015-05-11,768.000000,776.200012,751.900024,771.650024,744.491821,976348
2015-05-12,772.799988,772.849976,754.000000,758.349976,731.659790,1137027
2015-05-13,759.049988,775.000000,759.000000,762.500000,735.663818,839420
