"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","28-Aug-2018","       1399.80","       1402.00","       1419.65","       1401.00","       1407.00","       1407.50","       1413.11","    1290318","          1823355932.90","      44602","     617142","         47.83"
"ASIANPAINT","EQ","29-Aug-2018","       1407.50","       1413.75","       1413.75","       1391.00","       1393.00","       1394.00","       1398.07","     743529","          1039506154.40","      28508","     430518","         57.90"
"ASIANPAINT","EQ","30-Aug-2018","       1394.00","       1394.10","       1398.70","       1373.55","       1383.00","       1378.70","       1381.08","    1062266","          1467069880.30","      31350","     546940","         51.49"
"ASIANPAINT","EQ","31-Aug-2018","       1378.70","       1383.00","       1392.00","       1364.20","       1372.45","       1372.45","       1375.22","    1006329","          1383921516.15","      45657","     537235","         53.39"
"ASIANPAINT","EQ","03-Sep-2018","       1372.45","       1384.00","       1387.50","       1355.00","       1359.85","       1361.60","       1370.77","     817733","          1120925468.25","      35625","     455740","         55.73"
"ASIANPAINT","EQ","04-Sep-2018","       1361.60","       1360.00","       1364.60","       1302.50","       1313.00","       1311.30","       1324.09","    1789240","          2369107683.40","      66372","     973843","         54.43"
"ASIANPAINT","EQ","05-Sep-2018","       1311.30","       1314.50","       1330.00","       1302.45","       1318.00","       1321.30","       1315.52","    1222703","          1608491149.65","      55963","     674190","         55.14"
"ASIANPAINT","EQ","06-Sep-2018","       1321.30","       1327.95","       1331.95","       1308.00","       1313.40","       1314.50","       1316.63","     726455","           956471221.45","      37590","     428532","         58.99"
"ASIANPAINT","EQ","07-Sep-2018","       1314.50","       1322.80","       1322.80","       1310.00","       1317.00","       1316.00","       1316.16","     912914","          1201544106.00","      68643","     653242","         71.56"
"ASIANPAINT","EQ","10-Sep-2018","       1316.00","       1314.60","       1318.00","       1280.50","       1290.00","       1293.10","       1293.80","    1121083","          1450454442.25","      43539","     596971","         53.25"
"ASIANPAINT","EQ","11-Sep-2018","       1293.10","       1295.00","       1313.30","       1286.70","       1295.50","       1297.85","       1303.19","    1676544","          2184856922.15","      52951","     850244","         50.71"
"ASIANPAINT","EQ","12-Sep-2018","       1297.85","       1303.50","       1303.50","       1280.00","       1285.55","       1291.00","       1292.55","    1111171","          1436239270.10","      39512","     676226","         60.86"
